Buyer_County,Buyer_State,Year,Total_dosage_unit,FIPS,FIPS_year,Prescription_rate,Population,Avgdosage,Prescription_trend,Distributor_dosage,Overdose_death,percent_male,unmployment_rate,mean_income
Accomack,VA,2006,487300,51001,2006-51001,51.7,35192,13.84689702,1,NA,NA,NA,4.9,NA
Accomack,VA,2007,614000,51001,2007-51001,57,34553,17.76980291,1,NA,NA,NA,4.4,NA
Accomack,VA,2008,691600,51001,2008-51001,68.4,33970,20.35914042,1,NA,NA,NA,5.4,NA
Accomack,VA,2009,702600,51001,2009-51001,65.7,38522,18.2389284,1,NA,NA,NA,9.1,NA
Accomack,VA,2010,800550,51001,2010-51001,67.5,34066,23.49997065,1,NA,NA,NA,7.9,NA
Accomack,VA,2011,918550,51001,2011-51001,69.9,33701,27.25586778,1,NA,NA,NA,8.4,NA
Accomack,VA,2012,839370,51001,2012-51001,69.2,33454,25.09027321,1,NA,NA,NA,7.9,NA
Adams,OH,2006,1553880,39001,2006-39001,110.9,28615,54.30298794,0,NA,NA,NA,5.5,NA
Adams,OH,2007,1652200,39001,2007-39001,108.7,28538,57.89473684,0,NA,NA,NA,6,NA
Adams,OH,2008,1825870,39001,2008-39001,128.7,28686,63.65021265,0,NA,NA,NA,7.5,NA
Adams,OH,2009,1870210,39001,2009-39001,150.3,28142,66.45618648,0,NA,NA,NA,12.5,NA
Adams,OH,2010,1820320,39001,2010-39001,143.4,28578,63.69654979,0,NA,NA,NA,15.9,NA
Adams,OH,2011,1792820,39001,2011-39001,139.8,28551,62.79359742,0,NA,NA,NA,14.3,NA
Adams,OH,2012,1656790,39001,2012-39001,104,28524,58.08406956,0,NA,NA,NA,12.6,NA
Alachua,FL,2006,7333056,12001,2006-12001,87.4,239506,30.61742086,1,NA,NA,0.491048785,3.1,36899
Alachua,FL,2007,8139364,12001,2007-12001,92.1,242685,33.53880133,1,NA,12,0.501403687,3.7,37286
Alachua,FL,2008,9100379,12001,2008-12001,92.7,244888,37.16139215,1,NA,NA,0.490002652,5.7,43098
Alachua,FL,2009,10139373,12001,2009-12001,91.8,238990,42.42592996,1,NA,19,0.488307455,9.1,38019
Alachua,FL,2010,10072070,12001,2010-12001,85.3,244247,41.23723116,1,NA,15,0.481791698,8,40358
Alachua,FL,2011,9909269,12001,2011-12001,82.7,246203,40.24836822,1,NA,15,0.48585808,7.6,39636
Alachua,FL,2012,8914630,12001,2012-12001,78.2,247973,35.95000262,1,NA,NA,0.486255902,6.6,41669
Albemarle,VA,2006,2033730,51003,2006-51003,72.1,93852,21.66954354,1,NA,NA,0.481077851,3,57122
Albemarle,VA,2007,2223650,51003,2007-51003,78.3,95009,23.40462483,1,NA,NA,0.480664111,2.8,63249
Albemarle,VA,2008,2481080,51003,2008-51003,77.5,97081,25.55680308,1,NA,NA,0.47417486,4.5,66690
Albemarle,VA,2009,2714890,51003,2009-51003,77.1,92866,29.2344884,1,NA,NA,0.479653981,7.7,63474
Albemarle,VA,2010,2472100,51003,2010-51003,74.4,96633,25.58235799,1,NA,NA,0.473141704,6,59499
Albemarle,VA,2011,2576440,51003,2011-51003,74.8,97978,26.29610729,1,NA,NA,0.479886229,5.6,63001
Albemarle,VA,2012,2586240,51003,2012-51003,73.8,99484,25.99654216,1,NA,NA,0.485941458,5.2,72917
Alexandria City,VA,2006,1321972,51510,2006-51510,38.4,127676,10.3541151,1,NA,NA,0.473425614,3.4,80449
Alexandria City,VA,2007,1536327,51510,2007-51510,40.1,129175,11.8933772,1,NA,NA,0.485681026,3.6,80806
Alexandria City,VA,2008,1645200,51510,2008-51510,41.5,132949,12.37466999,1,NA,10,0.48011259,5.1,86682
Alexandria City,VA,2009,1825720,51510,2009-51510,40.9,142131,12.84533283,1,NA,12,0.476087623,8.5,77095
Alexandria City,VA,2010,2018320,51510,2010-51510,42,133647,15.10187284,1,NA,NA,0.489986658,4.9,77793
Alexandria City,VA,2011,2103620,51510,2011-51510,41.2,136968,15.35847789,1,NA,NA,0.485422831,4.5,82748
Alexandria City,VA,2012,2198340,51510,2012-51510,41.8,140337,15.66472135,1,NA,NA,0.481544014,4.1,81160
Allegany,MD,2006,3371670,24001,2006-24001,109.8,73980,45.57542579,0,25,NA,0.500734577,3.9,32984
Allegany,MD,2007,3634570,24001,2007-24001,118.5,74449,48.81959462,0,NA,NA,0.500606111,3.5,37024
Allegany,MD,2008,3954160,24001,2008-24001,109.6,74638,52.97783971,0,NA,NA,0.49685761,4.4,39871
Allegany,MD,2009,4409110,24001,2009-24001,114.3,72598,60.73321579,0,NA,NA,0.518143716,7.4,36491
Allegany,MD,2010,4592010,24001,2010-24001,124.1,74638,61.52375466,0,NA,10,0.526759174,9.3,35039
Allegany,MD,2011,4964820,24001,2011-24001,134.1,74788,66.38524897,0,NA,NA,0.51922562,9.1,38502
Allegany,MD,2012,4807590,24001,2012-24001,136.7,74645,64.40605533,0,NA,NA,0.520077825,8.9,38509
Alleghany,VA,2006,300820,51005,2006-51005,62.8,16564,18.1610722,1,NA,NA,NA,3.3,NA
Alleghany,VA,2007,357420,51005,2007-51005,65.7,16530,21.62250454,1,NA,NA,NA,3.5,NA
Alleghany,VA,2008,403360,51005,2008-51005,67.1,16404,24.5891246,1,NA,NA,NA,4.1,NA
Alleghany,VA,2009,475550,51005,2009-51005,73,16397,29.00225651,1,NA,NA,NA,7.7,NA
Alleghany,VA,2010,522240,51005,2010-51005,76.6,16406,31.83225649,1,NA,NA,NA,8.6,NA
Alleghany,VA,2011,610060,51005,2011-51005,77.9,16326,37.36738944,1,NA,NA,NA,7.9,NA
Alleghany,VA,2012,678100,51005,2012-51005,84.5,16297,41.60888507,1,NA,NA,NA,7.1,NA
Allen,OH,2006,2294100,39003,2006-39003,98.2,106716,21.49724502,1,NA,NA,0.495283019,6.7,44100
Allen,OH,2007,2713810,39003,2007-39003,104.7,106717,25.42996898,0,NA,NA,0.495291401,7,44002
Allen,OH,2008,3087850,39003,2008-39003,105.9,106773,28.91976436,0,NA,NA,0.493172828,8,44210
Allen,OH,2009,3243990,39003,2009-39003,107.5,104946,30.91103996,0,NA,NA,0.499928131,13.6,37855
Allen,OH,2010,3673340,39003,2010-39003,114.2,106586,34.46362562,0,NA,NA,0.495616967,10.7,41057
Allen,OH,2011,4029060,39003,2011-39003,121.3,106468,37.84291994,0,NA,NA,0.503949328,9.5,41307
Allen,OH,2012,3873830,39003,2012-39003,114.3,106079,36.51834953,0,NA,10,0.502239849,7.7,41729
Amelia,VA,2006,168300,51007,2006-51007,54.1,12250,13.73877551,1,NA,NA,NA,3.7,NA
Amelia,VA,2007,208030,51007,2007-51007,64.3,12447,16.71326424,1,NA,NA,NA,3.9,NA
Amelia,VA,2008,210600,51007,2008-51007,62.4,12563,16.7635119,1,NA,NA,NA,4.5,NA
Amelia,VA,2009,227400,51007,2009-51007,58.1,12581,18.07487481,1,NA,NA,NA,7.9,NA
Amelia,VA,2010,221260,51007,2010-51007,54,12517,17.67675961,1,NA,NA,NA,8.5,NA
Amelia,VA,2011,277770,51007,2011-51007,57.6,12631,21.99113293,1,NA,NA,NA,7.5,NA
Amelia,VA,2012,271350,51007,2012-51007,57.6,12674,21.40997317,1,NA,NA,NA,6.5,NA
Amherst,VA,2006,559100,51009,2006-51009,80.8,32094,17.42070169,1,NA,NA,NA,2,NA
Amherst,VA,2007,631330,51009,2007-51009,81,32203,19.60469521,1,NA,NA,NA,1.9,NA
Amherst,VA,2008,750360,51009,2008-51009,84.1,32510,23.08089819,1,NA,NA,NA,2.5,NA
Amherst,VA,2009,838660,51009,2009-51009,83.2,32185,26.05748019,1,NA,NA,NA,4.3,NA
Amherst,VA,2010,843560,51009,2010-51009,88.1,32315,26.10428594,1,NA,NA,NA,8.1,NA
Amherst,VA,2011,1014280,51009,2011-51009,90.6,32339,31.36398775,1,NA,NA,NA,7.3,NA
Amherst,VA,2012,984150,51009,2012-51009,95,32301,30.46809696,1,NA,NA,NA,6.7,NA
Anne Arundel,MD,2006,14376402,24003,2006-24003,78,517698,27.76986197,1,NA,37,0.49582368,3.1,79160
Anne Arundel,MD,2007,15836968,24003,2007-24003,79.8,520503,30.42627612,1,NA,47,0.496370232,2.8,80402
Anne Arundel,MD,2008,16671976,24003,2008-24003,82.6,525304,31.73776708,1,NA,55,0.496240176,3.4,83285
Anne Arundel,MD,2009,18239025,24003,2009-24003,82.1,513711,35.50444705,1,NA,54,0.497171001,5.9,80300
Anne Arundel,MD,2010,19151845,24003,2010-24003,83.8,527020,36.33988274,1,NA,49,0.495851246,6.9,81455
Anne Arundel,MD,2011,20354650,24003,2011-24003,84.3,532369,38.23410078,1,NA,63,0.492714037,6.3,84138
Anne Arundel,MD,2012,19928983,24003,2012-24003,81.9,538473,37.01018064,1,NA,60,0.494132479,6,89179
Appomattox,VA,2006,370300,51011,2006-51011,70.7,14215,26.04994724,1,NA,NA,NA,2.7,NA
Appomattox,VA,2007,416030,51011,2007-51011,99,14425,28.84090121,1,NA,NA,NA,2.6,NA
Appomattox,VA,2008,532660,51011,2008-51011,111.2,14795,36.00270362,0,NA,NA,NA,3.6,NA
