"","superkey","policy1","policy2","policy3","policy4","policy5","key2","Population","percent_male","percent_female","under_18","18-24","25-44","45-64","over_65","Mean_income","Unemployment_rate","County Code","County","Crude_rate","outcome"
"1","FL2013",0,0,0,0,1,"2013-12095",1227642,0.491740263040854,0.508259736959146,0.228800415756385,0.119147112920542,0.302242021696879,0.243948154266472,0.105862295359722,66709,6.8,12095,"Orange County",0.077534121134414,1
"2","FL2013",0,0,0,0,1,"2013-12083",335117,0.480533664361999,0.519466335638001,0.18837301599143,0.0740189247337497,0.200521012064443,0.263367719333845,0.273719327876533,52739,8.5,12083,"Marion County",0.0414984497364848,0
"3","FL2013",0,0,0,0,1,"2013-12023",67415,0.51832678187347,0.48167321812653,0.217073351627976,0.0953051991396573,0.244010976785582,0.275042646295335,0.16856782615145,50730,7.6,12023,"Columbia County",0.162859215610796,1
"4","FL2013",0,0,0,0,1,"2013-12086",2635640,0.485476772245071,0.514523227754929,0.207414138501465,0.096084442488352,0.285348909562763,0.264003809321455,0.147148700125966,65616,7.4,12086,"Miami-Dade County",0.0244538387941812,1
"5","FL2013",0,0,0,0,1,"2013-12009",550290,0.489074851441967,0.510925148558033,0.188983990259681,0.080145014446928,0.209743953188319,0.30105580693816,0.220071235166912,64115,8.3,12009,"Brevard County",0.0399402348848904,1
"6","FL2013",0,0,0,0,1,"2013-12021",339065,0.492094436170056,0.507905563829944,0.185309601403861,0.0693377376019347,0.203238317136832,0.253641632135431,0.288472711721941,91387,7.1,12021,"Collier County",0.0824397453789578,1
"7","FL2013",0,0,0,0,1,"2013-12127",500474,0.487036289597462,0.512963710402538,0.181813640668646,0.0889836435059563,0.214001126931669,0.288170814068263,0.227030774825465,56975,8.2,12127,"Volusia County",0.139776357827476,0
"8","FL2013",0,0,0,0,1,"2013-12097",299304,0.491911234063026,0.508088765936974,0.254597332478016,0.0991299815572127,0.281767032849544,0.243955977868655,0.120549675246572,54987,7.9,12097,"Osceola County",0.0837509715112695,0
"9","FL2013",0,0,0,0,1,"2013-12019",195645,0.492126044621636,0.507873955378364,0.246783715402898,0.088077896189527,0.250320733982468,0.27928135142733,0.135536302997777,73178,6.3,12019,"Clay County",0.112016863629652,1
"10","FL2013",0,0,0,0,1,"2013-12005",174606,0.496248697066538,0.503751302933462,0.215634056103456,0.0919899659805505,0.258874265489158,0.275849627160579,0.157652085266257,59743,7.3,12005,"Bay County",0.0857206535342625,0
"11","FL2013",0,0,0,0,1,"2013-12099",1376716,0.483998878490553,0.516001121509447,0.197639890870739,0.0811924899543551,0.232905697326101,0.263278700908539,0.224983220940267,79966,7.1,12099,"Palm Beach County",0.0604880878549394,0
"12","FL2013",0,0,0,0,1,"2013-12101",474388,0.48633607932747,0.51366392067253,0.206238353415348,0.0730372606389706,0.229430339721915,0.271431823739218,0.219862222484549,58132,7.7,12101,"Pasco County",0.0925337853468545,0
"13","FL2013",0,0,0,0,1,"2013-12011",1837055,0.486232039868159,0.513767960131841,0.217525877015114,0.0862701443342742,0.269248334970918,0.277376561942892,0.149579081736802,71963,6.8,12011,"Broward County",0.0614516511460461,1
"14","FL2013",0,0,0,0,1,"2013-12017",138830,0.484398184830368,0.515601815169632,0.152013253619535,0.0578405243823381,0.157602823597205,0.287452279766621,0.345091118634301,51597,9.7,12017,"Citrus County",0.0718024570800813,1
"15","FL2013",0,0,0,0,1,"2013-12109",209449,0.486715143065854,0.513284856934146,0.222173416917722,0.0774794818786435,0.228757358593261,0.296081623688822,0.175508118921551,93325,5.4,12109,"St. Johns County",0.0667789188493038,0
"16","FL2013",0,0,0,0,1,"2013-12081",341933,0.48309171679832,0.51690828320168,0.1983751202721,0.0712098569017907,0.209622937827001,0.270693381451922,0.250098703547186,65293,6.7,12081,"Manatee County",0.160768884497787,0
"17","FL2013",0,0,0,0,1,"2013-12103",928488,0.480113905618597,0.519886094381403,0.172145466608077,0.0740548073857713,0.225498875591284,0.302689964759911,0.225610885654957,64120,6.6,12103,"Pinellas County",0.0678113509743307,1
"18","FL2013",0,0,0,0,1,"2013-12105",622712,0.490155962949164,0.509844037050836,0.228347936124565,0.0890363442490268,0.238879289302278,0.250891262734619,0.192845167589512,56379,8.2,12105,"Polk County",0.0272869252290095,0
"19","FL2013",0,0,0,0,1,"2013-12117",435531,0.4836601757395,0.5163398242605,0.217931674209184,0.0950908201712393,0.272322750848964,0.278315435640632,0.136339319129982,77098,6.7,12117,"Seminole County",0.0917344928573231,0
"20","FL2013",0,0,0,0,1,"2013-12031",885975,0.484791331583848,0.515208668416152,0.229924094923672,0.0994520161404103,0.285916645503541,0.261573972177545,0.123133271254832,65569,7.5,12031,"Duval County",0.100467909533727,1
"21","FL2013",0,0,0,0,1,"2013-12033",306677,0.498906015123403,0.501093984876597,0.210224438089586,0.134313952464645,0.244716754109372,0.259011924598193,0.151732930738203,58570,7.2,12033,"Escambia County",0.0457790116311389,1
"22","FL2013",0,0,0,0,1,"2013-12053",173655,0.479203017477182,0.520796982522818,0.190101062451412,0.0702484811839567,0.195231925369267,0.273231407100285,0.271187123895079,50957,9,12053,"Hernando County",0.114651945356883,0
"23","FL2013",0,0,0,0,1,"2013-12057",1293824,0.487536944746735,0.512463055253265,0.233275932429759,0.0990034193213296,0.283036178027305,0.256163125741987,0.12852134447962,69525,6.6,12057,"Hillsborough County",0.0867156300277645,1
"24","FL2013",0,0,0,0,1,"2013-12071",659920,0.489509334464784,0.510490665535216,0.188466783852588,0.0739119893320403,0.214486604436901,0.265535216389865,0.257599405988605,67429,7.3,12071,"Lee County",0.0650416342088744,1
"25","FL2013",0,0,0,0,1,"2013-12115",389997,0.477272902099247,0.522727097900753,0.151762705866968,0.0609440585440401,0.174319289635561,0.278709836229509,0.334264109723921,70251,7,12115,"Sarasota County",0.117819116920106,1
"26","FL2013",0,0,0,0,1,"2013-12111",285370,0.488611276588289,0.511388723411711,0.212482040859235,0.0778778428005747,0.22390230227424,0.266604758734275,0.219133055331675,58639,10,12111,"St. Lucie County",0.0453226976069616,1
"27","FL2013",0,0,0,0,1,"2013-12113",160389,0.511313119977056,0.488686880022944,0.227509367849416,0.0867578200500034,0.264868538366097,0.280175074350485,0.140689199383998,71126,6.4,12113,"Santa Rosa County",0.0620747877042261,1
"28","FL2014",0,0,0,0,1,"2014-12083",338057,0.480220791168353,0.519779208831647,0.187767151693353,0.0722452130853673,0.201631677498173,0.260367334502761,0.277988623220345,52111,7.3,12083,"Marion County",0.0589680010142496,0
"29","FL2014",0,0,0,0,1,"2014-12073",283785,0.476103388128337,0.523896611871663,0.188840143066054,0.23134767517663,0.247965889669997,0.218013637084412,0.113832655002907,65643,5.5,12073,"Leon County",0.0492978576559573,0
"30","FL2014",0,0,0,0,1,"2014-12011",1861602,0.486373564274211,0.513626435725789,0.216858920435195,0.0851180864653132,0.268741116522221,0.276742826877066,0.152539049700204,72726,5.9,12011,"Broward County",0.058312625218338,1
"31","FL2014",0,0,0,0,1,"2014-12086",2660389,0.485563577356544,0.514436422643456,0.20577742578247,0.0933051519909306,0.284969979954059,0.266072367612406,0.149875074660134,66582,6.7,12086,"Miami-Dade County",0.0330470010973106,0
"32","FL2014",0,0,0,0,1,"2014-12081",350972,0.483354797533706,0.516645202466294,0.194505544601849,0.0707378366365408,0.208572193793237,0.270785133856832,0.255399291111542,67259,5.7,12081,"Manatee County",0.213222040904516,0
"33","FL2014",0,0,0,0,1,"2014-12127",506786,0.487168153816404,0.512831846183596,0.180667974253432,0.086608548776012,0.215376904650089,0.286108929607369,0.231237642713098,56364,6.8,12127,"Volusia County",0.108367764727672,1
"34","FL2014",0,0,0,0,1,"2014-12111",290146,0.488995195522254,0.511004804477746,0.208912064960399,0.0773369269264439,0.222594831567556,0.266700212996216,0.224455963549385,58811,8,12111,"St. Lucie County",0.0412331459515923,1
"35","FL2014",0,0,0,0,1,"2014-12017",138833,0.483681833569829,0.516318166430171,0.150907925349161,0.0575367527893224,0.157534591919789,0.282454459674573,0.351566270267155,51970,8.6,12017,"Citrus County",0.0932722041656801,0
"36","FL2014",0,0,0,0,1,"2014-12117",441453,0.483206592774316,0.516793407225684,0.215628843840681,0.091289446441637,0.275082511615053,0.277039684858864,0.140959513243765,77779,5.7,12117,"Seminole County",0.097171627692558,0
