,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
1,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9015,117505,0.496634186,0.503365814,0.209991064,0.104667886,0.247870303,0.294625761,0.142844985,72403,8.8,Windham,9015,82.6,0,0,1
2,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9013,151783,0.501334142,0.498665858,0.190159636,0.180797586,0.211828729,0.281876099,0.13533795,94146,6.9,Tolland,9013,55.2,0,0,0
3,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9005,186886,0.492926169,0.507073831,0.19943709,0.073884614,0.21294265,0.333781022,0.179954625,92137,7.1,Litchfield,9005,70.3,1,0,1
4,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9003,897724,0.484712451,0.515287549,0.218673,0.090966711,0.252837175,0.282170244,0.15535287,87148,8,Hartford,9003,67.7,1,0,1
5,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9011,272981,0.500631912,0.499368088,0.204783483,0.104340595,0.243145127,0.290932336,0.156798459,84806,8.1,New London,9011,80.6,0,0,0
6,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9001,939991,0.48676849,0.51323151,0.237687382,0.086184868,0.247764074,0.284946345,0.143417331,132661,7.3,Fairfield,9001,52.4,0,0,1
7,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9007,165156,0.488102158,0.511897842,0.196608055,0.084998426,0.228547555,0.317318172,0.172527792,98414,6.7,Middlesex,9007,74,0,0,0
8,CT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-9009,862889,0.48166566,0.51833434,0.212662347,0.100832204,0.252661698,0.279117013,0.154726738,82562,8.5,New Haven,9009,77.5,0,0,0
9,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9015,116769,0.496433129,0.503566871,0.206561673,0.101979121,0.247291661,0.296011784,0.148155761,72054,7.3,Windham,9015,82.4,0,0,0
10,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9007,164597,0.488113392,0.511886608,0.192828545,0.086295619,0.224755008,0.317976634,0.178144195,99490,5.7,Middlesex,9007,73.5,0,0,0
11,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9001,944355,0.487030831,0.512969169,0.235059909,0.088849003,0.244580693,0.285778124,0.145732272,135743,6.2,Fairfield,9001,50.7,0,0,0
12,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9009,862996,0.481972106,0.518027894,0.210379886,0.101492939,0.250974512,0.278993182,0.158159482,83146,7.2,New Haven,9009,75.4,0,0,1
13,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9011,271465,0.500532297,0.499467703,0.201812388,0.104492292,0.241268672,0.289937929,0.162488719,85484,6.8,New London,9011,79.6,0,0,0
14,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9013,151710,0.501588557,0.498411443,0.184621976,0.185960055,0.209366555,0.279823347,0.140228067,95669,5.8,Tolland,9013,54.5,0,0,0
15,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9005,185398,0.493252354,0.506747646,0.19411752,0.075675034,0.209516823,0.334038123,0.186652499,92075,6,Litchfield,9005,71.1,0,0,0
16,CT,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-9003,897493,0.485116876,0.514883124,0.216654615,0.091551689,0.252074389,0.281276846,0.158442461,88644,6.8,Hartford,9003,66.5,0,0,0
17,CT,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-9015,116468,0.496445376,0.503554624,0.203532301,0.100834564,0.246256482,0.296081327,0.153295326,71875,6.3,Windham,9015,78.1,1,1,0
18,CT,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-9005,184133,0.493789815,0.506210185,0.190824024,0.076227509,0.206443169,0.333644702,0.192860595,94144,5.2,Litchfield,9005,66.9,1,0,0
19,CT,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-9007,163555,0.487389563,0.512610437,0.1882914,0.087921494,0.220843141,0.318700131,0.184243832,101108,4.9,Middlesex,9007,70.5,1,0,0
